"原文件名","新文件名"
"01_基础理论层/01_语义模型/CONTROL_FLOW_EXECUTION_DATA_FLOW_ANALYSIS.md","01_基础理论层/01_语义模型/01_控制流_执行流数据流分析.md"
"01_基础理论层/01_语义模型/DISTRIBUTED_SYSTEMS_THEORY.md","01_基础理论层/01_语义模型/02_分布式_分布式系统理论.md"
"01_基础理论层/01_语义模型/OTLP_THEORETICAL_FRAMEWORK_INDEX.md","01_基础理论层/01_语义模型/00_索引_OTLP理论框架总导航.md"
"01_基础理论层/01_语义模型/OTLP_UNIFIED_THEORETICAL_FRAMEWORK.md","01_基础理论层/01_语义模型/01_理论_OTLP统一理论框架第一部分.md"
"01_基础理论层/01_语义模型/OTLP_UNIFIED_THEORETICAL_FRAMEWORK_PART2.md","01_基础理论层/01_语义模型/02_理论_OTLP统一理论框架第二部分.md"
"01_基础理论层/01_语义模型/OTLP_UNIFIED_THEORETICAL_FRAMEWORK_PART3.md","01_基础理论层/01_语义模型/03_理论_OTLP统一理论框架第三部分.md"
"01_基础理论层/01_语义模型/OTLP_UNIFIED_THEORETICAL_FRAMEWORK_PART4.md","01_基础理论层/01_语义模型/04_理论_OTLP统一理论框架第四部分.md"
"01_基础理论层/01_语义模型/OTLP_UNIFIED_THEORETICAL_FRAMEWORK_PART5.md","01_基础理论层/01_语义模型/05_理论_OTLP统一理论框架第五部分.md"
"01_基础理论层/01_语义模型/QUICK_REFERENCE.md","01_基础理论层/01_语义模型/90_速查_语义模型快速参考.md"
"01_基础理论层/01_语义模型/SELF_AWARENESS_SELF_OPS_FRAMEWORK.md","01_基础理论层/01_语义模型/06_运维_自我感知与自主运维框架.md"
"01_基础理论层/01_语义模型/SELF_HEALING_AUTO_ADJUSTMENT_ARCHITECTURE.md","01_基础理论层/01_语义模型/07_自愈_自愈合自动调整架构.md"
"01_基础理论层/01_语义模型/SEMANTIC_MODELS_ANALYSIS_SUMMARY.md","01_基础理论层/01_语义模型/08_总结_语义模型分析总结.md"
"01_基础理论层/01_语义模型/SEMANTIC_MODELS_AND_FLOW_ANALYSIS.md","01_基础理论层/01_语义模型/09_流分析_语义模型与流分析.md"
"01_基础理论层/01_语义模型/OTLP数据模型语义完整性形式化论证.md","01_基础理论层/01_语义模型/10_论证_OTLP数据模型语义完整性形式化论证.md"
"01_基础理论层/01_语义模型/OTLP与竞品语义模型深度对比.md","01_基础理论层/01_语义模型/11_对比_OTLP与竞品语义模型深度对比.md"
"01_基础理论层/01_语义模型/OTLP语义模型本体论基础.md","01_基础理论层/01_语义模型/12_本体论_OTLP语义模型本体论基础.md"
"01_基础理论层/01_语义模型/OTLP语义演化与版本兼容性理论.md","01_基础理论层/01_语义模型/13_演化_OTLP语义演化与版本兼容性理论.md"
"02_核心协议层/01_协议基础/OTLP_v1.9.0更新说明.md","02_核心协议层/01_协议基础/91_版本_OTLP_v1.9.0更新说明.md"
"02_核心协议层/21_语义约定/Semantic_Conventions_v1.40.0_完整变更日志.md","02_核心协议层/21_语义约定/91_变更日志_Semantic_Conventions_v1.40.0完整变更日志.md"
"02_核心协议层/21_语义约定/版本更新日志_v1.29_to_v1.38.md","02_核心协议层/21_语义约定/92_变更日志_版本更新日志_v1.29_to_v1.38.md"
"02_核心协议层/21_语义约定/版本更新日志_v1.38_to_v1.39.md","02_核心协议层/21_语义约定/93_变更日志_版本更新日志_v1.38_to_v1.39.md"
"02_核心协议层/21_语义约定/版本更新日志_v1.39_to_v1.40.md","02_核心协议层/21_语义约定/94_变更日志_版本更新日志_v1.39_to_v1.40.md"
"02_核心协议层/21_语义约定/Zipkin_Exporter弃用说明与迁移指南.md","02_核心协议层/21_语义约定/81_迁移_Zipkin_Exporter弃用说明与迁移指南.md"
"03_核心实现层/01_SDK实现/Collector_v0.147.0_完整变更日志.md","03_核心实现层/01_SDK实现/91_变更日志_Collector_v0.147.0完整变更日志.md"
"03_核心实现层/01_SDK实现/OTLP_Collector_v0.147.0更新说明.md","03_核心实现层/01_SDK实现/92_版本_Collector_v0.147.0更新说明.md"
"03_核心实现层/01_SDK实现/声明式配置完整指南_v1.0.md","03_核心实现层/01_SDK实现/81_指南_声明式配置完整指南.md"
"03_核心实现层/31_eBPF自动插桩/OBI_2026年目标更新.md","03_核心实现层/31_eBPF自动插桩/91_规划_OBI_2026年目标更新.md"
"04_部署运维层/01_部署指南/成本优化与FinOps实践指南.md","04_部署运维层/01_部署指南/11_FinOps_成本优化与FinOps实践指南.md"
"04_部署运维层/01_部署指南/大规模Collector生产部署架构指南.md","04_部署运维层/01_部署指南/01_部署_大规模Collector生产部署架构指南.md"
"04_部署运维层/41_安全合规/安全加固完整清单_v1.0.md","04_部署运维层/41_安全合规/01_安全_安全加固完整清单.md"
